,COD_Ateneo,COMUNE,Classe dimensione,Indirizzo,NomeEsteso,NomeOperativo,PROVINCIA,REGIONE,Statale/NonStataleLibera,Tipologia_ateneo_descrizione,URL,Zona Geografica,_id,status,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021
0,1001,GENOVA,da 30.000 a 59.999,"Via Balbi, 5",Università degli studi di Genova,Genova,GENOVA,LIGURIA,Statale   ,Università,www.unige.it,NORD-OVEST,7,Attivo    ,4.2,4.2,4.3,4.4,4.4,4.5
1,101,TORINO,60.000 e oltre,"Via Verdi, 8",Università degli studi di Torino,Torino,TORINO,PIEMONTE,Statale   ,Università,www.unito.it,NORD-OVEST,1,Attivo    ,3.8,3.7,3.9,3.8,3.8,3.8
2,102,TORINO,da 30.000 a 59.999,"Corso Duca degli Abruzzi, 24",Politecnico di Torino,Torino Politecnico,TORINO,PIEMONTE,Statale   ,Politecnico,www.polito.it,NORD-OVEST,2,Attivo    ,5.9,5.5,5.5,5.5,5.4,7.4
3,1201,CASTELLANZA,inferiore a 10.000,"Corso Matteotti, 22","Università ""Carlo Cattaneo"" (LIUC)",Castellanza LIUC,VARESE,LOMBARDIA,Non Statale,Università,www.liuc.it,NORD-OVEST,8,Attivo    ,7.0,6.9,7.6,6.8,6.6,6.2
4,1202,VARESE,da 10.000 a 19.999,"Via Ravasi, 2",Università degli Studi dell' Insubria,Insubria,VARESE,LOMBARDIA,Statale   ,Università,www.uninsubria.it,NORD-OVEST,9,Attivo    ,3.4,3.7,3.6,3.7,3.7,4.1
5,1301,NOVEDRATE,da 20.000 a 29.999,"Via Isimbardi, 10","Università telematica ""e-Campus"" di Novedrate (CO)",Novedrate e-Campus,COMO,LOMBARDIA,Non Statale,Università telematica,www.uniecampus.it,NORD-OVEST,10,Attivo    ,2.6,3.5,3.4,3.0,4.6,4.0
6,1501,MILANO,60.000 e oltre,"Via Festa del Perdono, 7",Università degli Studi di Milano,Milano,MILANO,LOMBARDIA,Statale   ,Università,www.unimi.it,NORD-OVEST,11,Attivo    ,3.8,3.7,3.8,4.0,3.8,4.1
7,1502,MILANO,da 30.000 a 59.999,"Piazza Leonardo da Vinci, 32",Politecnico di Milano,Milano Politecnico,MILANO,LOMBARDIA,Statale   ,Politecnico,www.polimi.it,NORD-OVEST,12,Attivo    ,5.5,5.6,6.0,5.6,5.1,5.7
8,1503,MILANO,da 10.000 a 19.999,"Via Sarfatti, 25",Università Commerciale Luigi Bocconi di Milano,Milano Bocconi,MILANO,LOMBARDIA,Non Statale,Università,www.unibocconi.it,NORD-OVEST,13,Attivo    ,13.0,13.5,13.1,13.8,14.0,14.0
9,1504,MILANO,da 30.000 a 59.999,"Largo Gemelli, 1","Università Cattolica del ""Sacro Cuore""",Milano Cattolica,MILANO,LOMBARDIA,Non Statale,Università,www.unicatt.it,NORD-OVEST,14,Attivo    ,6.2,6.6,6.8,6.3,5.8,5.6
