,AteneoCOD,COMUNE,Classe dimensione,Indirizzo,NomeEsteso,NomeOperativo,PROVINCIA,REGIONE,Statale/NonStataleLibera,Tipologia_ateneo_descrizione,URL,Zona Geografica,_id,status,Perc_lau_2011,Perc_lau_2012,Perc_lau_2013,Perc_lau_2014,Perc_lau_2015,Perc_lau_2016,Perc_lau_2017,Perc_lau_2018,Perc_lau_2019,Perc_lau_2020,Perc_lau_2021
0,101,TORINO,60.000 e oltre,"Via Verdi, 8",Università degli studi di Torino,Torino,TORINO,PIEMONTE,Statale   ,Università,www.unito.it,NORD-OVEST,1,Attivo    ,16.6,17.2,18.0,17.6,17.9,18.7,18.3,18.1,19.1,19.9,19.1
1,102,TORINO,da 30.000 a 59.999,"Corso Duca degli Abruzzi, 24",Politecnico di Torino,Torino Politecnico,TORINO,PIEMONTE,Statale   ,Politecnico,www.polito.it,NORD-OVEST,2,Attivo    ,18.8,19.2,19.5,21.2,21.5,20.9,21.4,22.8,23.1,23.2,26.6
2,201,VERCELLI,da 10.000 a 19.999,"Via Duomo, 6","Università degli studi del Piemonte orientale ""Amedeo Avogadro""",Piemonte Orientale,VERCELLI,PIEMONTE,Statale   ,Università,www.uniupo.it,NORD-OVEST,4,Attivo    ,16.3,14.9,17.5,15.7,16.9,16.5,15.5,16.7,18.7,16.2,17.3
3,401,BRA,inferiore a 10.000,"P.zza Vittorio Emanuele, 9",Università di Scienze Gastronomiche,Bra - Scienze Gastronomiche,CUNEO,PIEMONTE,Non Statale,Università,www.unisg.it,NORD-OVEST,5,Attivo    ,24.5,26.8,34.0,28.8,24.1,24.2,32.9,34.7,28.6,30.6,33.0
4,701,AOSTA,inferiore a 10.000,"Strada Cappuccini, 2A",Università della Valle d'Aosta,Aosta,AOSTA,VALLE D'AOSTA,Non Statale,Università,www.univda.it,NORD-OVEST,6,Attivo    ,13.5,12.9,18.8,16.7,16.0,16.9,24.3,21.4,26.0,26.1,21.8
5,1001,GENOVA,da 30.000 a 59.999,"Via Balbi, 5",Università degli studi di Genova,Genova,GENOVA,LIGURIA,Statale   ,Università,www.unige.it,NORD-OVEST,7,Attivo    ,16.0,17.1,18.6,19.1,18.3,19.0,18.3,18.9,19.1,18.7,18.1
6,1201,CASTELLANZA,inferiore a 10.000,"Corso Matteotti, 22","Università ""Carlo Cattaneo"" (LIUC)",Castellanza LIUC,VARESE,LOMBARDIA,Non Statale,Università,www.liuc.it,NORD-OVEST,8,Attivo    ,29.0,28.3,30.1,28.5,29.4,31.8,29.1,35.1,29.0,31.6,31.9
7,1202,VARESE,da 10.000 a 19.999,"Via Ravasi, 2",Università degli Studi dell' Insubria,Insubria,VARESE,LOMBARDIA,Statale   ,Università,www.uninsubria.it,NORD-OVEST,9,Attivo    ,16.2,18.7,18.3,17.5,17.7,16.8,17.4,17.6,17.5,18.0,18.0
8,1301,NOVEDRATE,da 20.000 a 29.999,"Via Isimbardi, 10","Università telematica ""e-Campus"" di Novedrate (CO)",Novedrate e-Campus,COMO,LOMBARDIA,Non Statale,Università telematica,www.uniecampus.it,NORD-OVEST,10,Attivo    ,5.2,7.9,11.1,12.1,11.9,11.4,18.5,19.1,17.5,22.0,23.1
9,1501,MILANO,60.000 e oltre,"Via Festa del Perdono, 7",Università degli Studi di Milano,Milano,MILANO,LOMBARDIA,Statale   ,Università,www.unimi.it,NORD-OVEST,11,Attivo    ,15.9,16.8,17.4,17.7,17.9,19.0,19.1,19.2,20.0,19.1,19.1
