,AteneoCOD,score_int_15_16,score_int_16_17,score_int_17_18,score_int_18_19,score_int_19_20,score_int_20_21
0,101,4.6,5.6,6.1,5.9,4.0,6.6
1,102,24.0,16.2,14.5,14.6,10.2,29.9
2,201,6.8,7.2,7.9,11.2,5.3,17.9
3,401,36.7,42.8,40.2,20.9,16.1,15.1
4,701,28.2,31.4,35.4,26.4,19.6,39.7
5,1001,7.1,9.7,8.1,9.1,7.4,14.1
6,1201,39.0,39.4,38.5,38.7,29.7,25.1
7,1202,6.3,9.0,8.6,8.6,7.8,15.1
8,1301,0.0,0.0,0.0,0.0,12.9,0.1
9,1501,4.9,5.6,7.4,7.6,5.8,11.4
10,1502,20.4,22.5,25.2,20.1,12.9,19.9
11,1503,100.0,100.0,100.0,100.0,100.0,100.0
12,1504,30.0,31.1,36.1,28.7,19.2,15.6
13,1505,11.8,12.3,12.0,9.7,5.8,10.1
14,1508,21.9,28.2,31.4,33.4,27.4,38.7
15,1509,4.9,6.2,7.3,11.6,8.5,10.4
16,1510,11.6,14.6,79.4,86.5,42.0,72.9
17,1601,6.1,7.8,6.9,9.5,8.9,5.6
18,1701,5.5,8.5,9.0,9.7,5.7,18.9
19,1801,15.1,17.2,14.7,16.1,13.0,25.1
20,1802,,,,,,
21,2101,23.5,19.9,20.2,19.6,14.6,19.7
22,2201,18.5,20.6,19.9,17.0,12.6,22.5
23,2301,6.1,13.4,14.9,16.9,7.8,10.7
24,2701,35.7,40.0,38.1,40.0,32.2,35.3
25,2702,19.7,20.0,29.8,22.0,15.6,20.9
26,2801,7.4,10.7,12.7,13.6,10.5,52.8
27,3001,8.9,10.8,10.3,9.1,6.4,8.3
28,3201,6.3,6.4,6.9,6.5,4.8,4.2
29,3202,,,,,,
30,3401,30.0,47.7,63.2,70.3,48.1,25.2
31,3601,8.0,4.1,11.4,11.5,5.5,10.4
32,3701,15.3,16.8,17.6,15.8,12.4,18.6
33,3801,10.8,11.0,6.5,7.6,4.7,7.0
34,4101,4.6,3.0,6.4,3.9,2.4,4.1
35,4201,5.7,6.4,9.0,25.3,18.5,34.1
36,4301,15.0,14.3,23.4,23.0,14.9,30.3
37,4302,10.9,15.6,14.8,35.3,6.0,11.7
38,4601,,,,,,
39,4801,8.6,10.4,11.3,9.0,7.5,8.0
40,4804,0.0,0.0,0.0,0.0,0.0,0.0
41,5001,5.4,6.6,6.1,5.5,4.4,11.0
42,5002,,,,,,
43,5003,,,,,,
44,5201,7.3,8.3,9.6,12.4,9.4,13.1
45,5202,7.9,18.5,17.5,17.1,19.4,10.8
46,5401,10.4,10.8,10.9,14.1,10.1,9.9
47,5403,42.6,33.0,25.5,18.2,11.9,10.7
48,5601,6.2,6.7,6.7,12.5,4.4,6.2
49,5801,31.2,33.0,33.3,8.1,,11.7
50,5802,9.6,14.5,10.1,18.0,,25.1
51,5803,6.1,10.9,10.7,19.9,,25.7
52,5805,32.8,37.3,40.5,72.9,,62.9
53,5806,11.2,13.5,12.6,10.3,,5.2
54,5807,8.9,9.9,10.7,11.5,,9.1
55,5808,9.5,10.0,8.7,19.1,,16.0
56,5809,6.6,7.2,21.7,26.4,,15.1
57,5810,0.0,0.6,1.1,0.2,,1.1
58,5811,2.6,1.6,0.2,0.3,,0.6
59,5812,5.7,9.9,13.4,16.8,,20.6
60,5813,0.2,4.4,5.4,5.4,,6.5
61,5814,0.0,0.0,0.0,0.2,,0.0
62,5815,0.0,0.0,0.0,0.0,,0.2
63,5816,0.0,0.0,0.0,0.0,,0.0
64,5817,0.0,0.0,0.0,31.1,,0.8
65,5818,,,,0.0,,0.0
66,6001,19.1,27.4,26.3,22.7,,15.7
67,6201,5.6,6.6,4.0,3.7,,14.1
68,6202,0.0,0.0,0.7,0.4,,0.0
69,6301,3.2,4.3,4.7,4.7,,4.6
70,6302,2.0,2.3,3.3,3.3,,6.2
71,6303,12.2,11.1,10.0,9.4,,15.7
72,6304,3.9,4.2,4.1,4.4,,2.3
73,6306,5.3,5.6,5.0,4.4,,4.2
74,6307,-1.9,0.0,0.5,0.0,,-0.2
75,6501,12.8,14.9,17.6,17.5,,5.9
76,6601,5.6,5.1,6.4,7.4,,10.1
77,6603,,,,,,
78,6701,7.6,7.3,5.1,6.2,,8.2
79,6901,2.5,2.7,4.2,4.3,,3.9
80,6902,0.0,0.0,0.0,0.0,,0.0
81,7001,8.6,7.4,4.5,10.5,,32.1
82,7101,7.2,7.5,13.1,6.6,,5.2
83,7201,2.5,5.4,7.2,5.9,,8.2
84,7202,6.0,10.1,9.7,9.5,,28.5
85,7203,13.8,13.9,15.6,17.8,,18.3
86,7501,4.1,5.0,4.5,5.6,,4.1
87,7601,4.6,8.4,5.7,5.1,,3.4
88,7801,4.8,3.9,5.4,5.8,,14.6
89,7901,12.8,3.0,2.8,4.0,,1.4
90,8001,9.5,5.3,3.9,5.9,,5.9
91,8003,74.4,84.0,87.3,37.3,,23.0
92,8201,6.8,7.9,9.4,9.0,,8.2
93,8301,3.4,5.0,5.4,26.1,,22.3
94,8601,40.6,45.6,42.0,28.6,,27.3
95,8701,7.4,7.2,6.1,59.6,,40.2
96,9001,13.1,13.8,14.5,14.3,,11.5
97,9201,10.3,11.5,14.0,13.6,,14.4
